lac|cell|lat|lng|fixlat|fixlng|address
20512|8643|31.545961|120.388398|31.5441941302395|120.39309577104|中国江苏省无锡市滨湖区海力士·意法路 邮政编码: 214111
20512|8647|31.551784|120.396358|31.5500287255973|120.401064182397|中国江苏省无锡市锡山区沪宁高速
20512|8648|31.543346|120.40012|31.541595770403|120.404829674403|中国江苏省无锡市滨湖区锡霞路32号 邮政编码: 214111
20512|8649|31.547331|120.38926|31.5455653983349|120.393958694335|中国江苏省无锡市滨湖区海力士·意法路 邮政编码: 214111
20512|8671|31.525599|120.436373|31.5237781162249|120.440983017825|中国江苏省无锡市滨湖区锡勤路6号
20512|8672|31.519614|120.436445|31.5177925396645|120.441054383664|中国江苏省无锡市滨湖区G42沪蓉高速
20512|8673|31.523442|120.428231|31.5216368615822|120.432863276782|中国江苏省无锡市滨湖区梅村服务区
20512|8677|31.522061|120.43232|31.520247786023|120.436940930023|中国江苏省无锡市滨湖区梅村服务区
20512|8678|31.525323|120.426815|31.5235207280725|120.431451276072|中国江苏省无锡市滨湖区G2京沪高速
20512|11811|31.5517|120.379199|31.5499198739117|120.383887194312|中国江苏省无锡市滨湖区锡兴路
20512|11812|31.550165|120.393109|31.548405009187|120.397811765587|中国江苏省无锡市滨湖区312国道 邮政编码: 214111
20512|11813|31.548345|120.377411|31.5465622085652|120.382097244165|中国江苏省无锡市滨湖区泰山路
20512|11817|31.554693|120.390476|31.5529292348961|120.395176044496|中国江苏省无锡市滨湖区锡甘路145号 邮政编码: 214111
20512|11818|31.547433|120.383656|31.545659259245|120.388348796845|中国江苏省无锡市滨湖区鑫明路30号-36号
20512|11819|31.549559|120.376904|31.5477755006147|120.381589739015|中国江苏省无锡市滨湖区泰山路
20512|12321|31.551608|120.431337|31.5497985604798|120.43596249088|中国江苏省无锡市滨湖区新华路101号 邮政编码: 214111
20512|12322|31.54679|120.434139|31.5449749167276|120.438756605528|中国江苏省无锡市滨湖区锡甘路
20512|12323|31.545208|120.427334|31.5434058034309|120.431969936231|中国江苏省无锡市滨湖区河南街 邮政编码: 214028
20512|12324|31.55124|120.427999|31.5494368713375|120.432633472138|中国无锡市滨湖区香梅花园 邮政编码: 214028
20512|12328|31.548889|120.432065|31.5470780052516|120.436688353252|中国江苏省无锡市滨湖区锡义路 邮政编码: 214112
20512|12329|31.546151|120.4269|31.5443496829238|120.431537162924|中国江苏省无锡市滨湖区河南街 邮政编码: 214028
